state_county, latitude , longitude 
Georgia_Dekalb, 33.79185 ,-84.26778 
Georgia_Dodge, 32.16500 ,-83.14500 
Georgia_Dooly, 32.18000 ,-83.79500 
Georgia_Dougherty, 31.55750 ,-84.20250 
Georgia_Douglas, 33.72500 ,-84.74500 
Georgia_Early, 31.25000 ,-84.87000 
Georgia_Echols, 30.70000 ,-83.03000 
Georgia_Effingham, 32.31400 ,-81.29600 
Georgia_Elbert, 34.15333 ,-82.94333 
Georgia_Emanuel, 32.56333 ,-82.35667 
Georgia_Evans, 32.16000 ,-81.90000 
Georgia_Fannin, 34.90800 ,-84.34200 
Georgia_Fayette, 33.40400 ,-84.50400 
Georgia_Floyd, 34.23333 ,-85.20167 
Georgia_Forsyth, 34.20000 ,-84.13000 
Georgia_Franklin, 34.35667 ,-83.14333 
Georgia_Fulton, 33.79476 ,-84.40024 
Georgia_Gilmer, 34.70250 ,-84.43250 
Georgia_Glascock, 33.22000 ,-82.64500 
Georgia_Glynn, 31.18600 ,-81.48600 
Georgia_Gordon, 34.49333 ,-84.89167 
Georgia_Grady, 30.91333 ,-84.24000 
Georgia_Greene, 33.55000 ,-83.09333 
Georgia_Gwinnett, 33.95882 ,-84.05118 
Georgia_Habersham, 34.53000 ,-83.53000 
Georgia_Hall, 34.30444 ,-83.79778 
Georgia_Hancock, 33.27000 ,-82.97000 
Georgia_Haralson, 33.75000 ,-85.20667 
Georgia_Harris, 32.72625 ,-84.82625 
Georgia_Hart, 34.35333 ,-83.04000 
Georgia_Heard, 33.28000 ,-85.09000 
Georgia_Henry, 33.46500 ,-84.19333 
Georgia_Houston, 32.52500 ,-83.64500 
Georgia_Irwin, 31.60500 ,-83.14500 
Georgia_Jackson, 34.13857 ,-83.62857 
Georgia_Jasper, 33.34500 ,-83.66250 
Georgia_Jeff Davis, 31.79000 ,-82.64000 
Georgia_Jefferson, 33.07714 ,-82.41571 
Georgia_Jenkins, 32.78333 ,-81.99333 
Georgia_Johnson, 32.70500 ,-82.61500 
Georgia_Jones, 32.97000 ,-83.54000 
Georgia_Lamar, 33.08000 ,-84.17000 
Georgia_Lanier, 30.98500 ,-83.03500 
Georgia_Laurens, 32.45750 ,-82.98750 
Georgia_Lee, 31.81500 ,-84.21000 
Georgia_Liberty, 31.82143 ,-81.52714 
Georgia_Lincoln, 33.79000 ,-82.47000 
Georgia_Long, 31.71000 ,-81.74000 
Georgia_Lowndes, 30.84714 ,-83.24286 
Georgia_Lumpkin, 34.48500 ,-83.93500 
Georgia_Macon, 32.35000 ,-84.05000 
Georgia_Madison, 34.05500 ,-83.21000 
Georgia_Marion, 32.40500 ,-84.44000 
Georgia_McDuffie, 33.43500 ,-82.44000 
Georgia_McIntosh, 31.45000 ,-81.47000 
Georgia_Meriwether, 33.00333 ,-84.64667 
Georgia_Miller, 31.15000 ,-84.67000 
Georgia_Mitchell, 31.20800 ,-84.12600 
Georgia_Monroe, 33.00333 ,-83.95000 
Georgia_Montgomery, 32.17500 ,-82.55250 
Georgia_Morgan, 33.58333 ,-83.48000 
Georgia_Murray, 34.88333 ,-84.75333 
Georgia_Muscogee, 32.52500 ,-84.85000 
Georgia_Newton, 33.58250 ,-83.82500 
Georgia_Oconee, 33.87000 ,-83.45333 
Georgia_Oglethorpe, 33.90500 ,-83.14667 
Georgia_Paulding, 33.89333 ,-84.81000 
Georgia_Peach, 32.60000 ,-83.81500 
Georgia_Pickens, 34.45000 ,-84.38750 
Georgia_Pierce, 31.39500 ,-82.19750 
Georgia_Pike, 33.08400 ,-84.38600 
Georgia_Polk, 34.01667 ,-85.11333 
Georgia_Pulaski, 32.28000 ,-83.47000 
Georgia_Putnam, 33.32000 ,-83.38000 
Georgia_Quitman, 31.83500 ,-84.99000 
Georgia_Rabun, 34.88200 ,-83.40200 
Georgia_Randolph, 31.72000 ,-84.74000 
Georgia_Richmond, 33.42100 ,-82.01500 
Georgia_Rockdale, 33.66000 ,-84.01000 
Georgia_Schley, 32.23000 ,-84.30000 
Georgia_Screven, 32.66333 ,-81.65000 
Georgia_Seminole, 31.00500 ,-84.83500 
Georgia_Spalding, 33.24000 ,-84.27000 
Georgia_Stephens, 34.51333 ,-83.25000 
Georgia_Stewart, 32.08667 ,-84.82333 
Georgia_Sumter, 32.03000 ,-84.15857 
Georgia_Talbot, 32.65750 ,-84.54000 
Georgia_Taliaferro, 33.55000 ,-82.89000 
Georgia_Tattnall, 32.11750 ,-82.06750 
Georgia_Taylor, 32.50667 ,-84.20000 
Georgia_Telfair, 31.97600 ,-82.90400 
Georgia_Terrell, 31.83333 ,-84.41667 
Georgia_Thomas, 30.88600 ,-83.92800 
Georgia_Tift, 31.45200 ,-83.56000 
Georgia_Toombs, 32.20500 ,-82.36000 
Georgia_Towns, 34.93500 ,-83.79500 
Georgia_Treutlen, 32.37000 ,-82.59000 
Georgia_Troup, 33.02250 ,-85.00500 
Georgia_Turner, 31.72333 ,-83.58667 
Georgia_Twiggs, 32.63667 ,-83.35000 
Georgia_Union, 34.80000 ,-84.00500 
Georgia_Upson, 32.92000 ,-84.23333 
Georgia_Walker, 34.85400 ,-85.28800 
Georgia_Walton, 33.76800 ,-83.72400 
Georgia_Ware, 31.19500 ,-82.48250 
Georgia_Warren, 33.39667 ,-82.69667 
Georgia_Washington, 32.96800 ,-82.74600 
