State Name,AQI,Date
Georgia,126,2016-04-01
Georgia,140,2016-05-01
Georgia,200,2016-06-01
Georgia,122,2016-07-01
Georgia,115,2016-08-01
Georgia,112,2016-09-01
Georgia,130,2016-10-01
Georgia,174,2016-11-01
Georgia,102,2016-12-01
Hawaii,216,2016-01-01
Hawaii,337,2016-02-01
Hawaii,200,2016-03-01
Hawaii,200,2016-04-01
Hawaii,200,2016-05-01
Hawaii,200,2016-06-01
Hawaii,200,2016-07-01
Hawaii,200,2016-08-01
Hawaii,200,2016-09-01
Hawaii,200,2016-10-01
Hawaii,200,2016-11-01
Hawaii,200,2016-12-01
Idaho,158,2016-01-01
Idaho,146,2016-02-01
Idaho,81,2016-03-01
Idaho,80,2016-04-01
Idaho,67,2016-05-01
Idaho,108,2016-06-01
Idaho,102,2016-07-01
Idaho,165,2016-08-01
Idaho,116,2016-09-01
Idaho,109,2016-10-01
Idaho,170,2016-11-01
Idaho,150,2016-12-01
Illinois,123,2016-01-01
Illinois,141,2016-02-01
Illinois,127,2016-03-01
Illinois,119,2016-04-01
Illinois,136,2016-05-01
Illinois,151,2016-06-01
Illinois,169,2016-07-01
Illinois,150,2016-08-01
Illinois,112,2016-09-01
Illinois,67,2016-10-01
Illinois,84,2016-11-01
Illinois,71,2016-12-01
Indiana,127,2016-01-01
Indiana,110,2016-02-01
Indiana,121,2016-03-01
Indiana,217,2016-04-01
Indiana,119,2016-05-01
Indiana,151,2016-06-01
Indiana,126,2016-07-01
Indiana,139,2016-08-01
Indiana,101,2016-09-01
Indiana,90,2016-10-01
Indiana,131,2016-11-01
Indiana,81,2016-12-01
Iowa,90,2016-01-01
Iowa,88,2016-02-01
Iowa,156,2016-03-01
Iowa,84,2016-04-01
Iowa,154,2016-05-01
Iowa,112,2016-06-01
Iowa,101,2016-07-01
Iowa,85,2016-08-01
Iowa,84,2016-09-01
Iowa,76,2016-10-01
Iowa,84,2016-11-01
Iowa,95,2016-12-01
Kansas,75,2016-01-01
Kansas,77,2016-02-01
Kansas,67,2016-03-01
Kansas,195,2016-04-01
Kansas,90,2016-05-01
Kansas,129,2016-06-01
Kansas,115,2016-07-01
Kansas,71,2016-08-01
Kansas,71,2016-09-01
Kansas,98,2016-10-01
Kansas,95,2016-11-01
Kansas,67,2016-12-01
Kentucky,82,2016-01-01
Kentucky,83,2016-02-01
Kentucky,71,2016-03-01
Kentucky,112,2016-04-01
Kentucky,112,2016-05-01
Kentucky,156,2016-06-01
Kentucky,112,2016-07-01
Kentucky,101,2016-08-01
Kentucky,126,2016-09-01
Kentucky,77,2016-10-01
Kentucky,164,2016-11-01
Kentucky,95,2016-12-01
Louisiana,97,2016-01-01
Louisiana,123,2016-02-01
Louisiana,100,2016-03-01
Louisiana,112,2016-04-01
Louisiana,126,2016-05-01
Louisiana,108,2016-06-01
Louisiana,126,2016-07-01
Louisiana,87,2016-08-01
Louisiana,116,2016-09-01
Louisiana,146,2016-10-01
Louisiana,95,2016-11-01
Louisiana,73,2016-12-01
Maine,80,2016-01-01
Maine,66,2016-02-01
Maine,79,2016-03-01
Maine,101,2016-04-01
Maine,90,2016-05-01
Maine,164,2016-06-01
Maine,122,2016-07-01
Maine,108,2016-08-01
Maine,54,2016-09-01
Maine,46,2016-10-01
Maine,77,2016-11-01
Maine,89,2016-12-01
Maryland,103,2016-01-01
Maryland,71,2016-02-01
Maryland,81,2016-03-01
Maryland,115,2016-04-01
Maryland,150,2016-05-01
Maryland,133,2016-06-01
Maryland,204,2016-07-01
Maryland,140,2016-08-01
Maryland,164,2016-09-01
Maryland,58,2016-10-01
Maryland,103,2016-11-01
Maryland,71,2016-12-01
Massachusetts,99,2016-01-01
Massachusetts,71,2016-02-01
Massachusetts,67,2016-03-01
Massachusetts,93,2016-04-01
Massachusetts,161,2016-05-01
Massachusetts,101,2016-06-01
Massachusetts,143,2016-07-01
Massachusetts,100,2016-08-01
Massachusetts,87,2016-09-01
Massachusetts,60,2016-10-01
Massachusetts,74,2016-11-01
Massachusetts,85,2016-12-01
Michigan,117,2016-01-01
Michigan,115,2016-02-01
Michigan,108,2016-03-01
Michigan,129,2016-04-01
Michigan,154,2016-05-01
Michigan,159,2016-06-01
Michigan,122,2016-07-01
Michigan,129,2016-08-01
Michigan,97,2016-09-01
Michigan,102,2016-10-01
Michigan,127,2016-11-01
Michigan,105,2016-12-01
Minnesota,105,2016-01-01
Minnesota,83,2016-02-01
Minnesota,77,2016-03-01
Minnesota,89,2016-04-01
Minnesota,151,2016-05-01
Minnesota,93,2016-06-01
Minnesota,87,2016-07-01
Minnesota,67,2016-08-01
Minnesota,105,2016-09-01
Minnesota,86,2016-10-01
Minnesota,78,2016-11-01
Minnesota,110,2016-12-01
Mississippi,71,2016-01-01
Mississippi,59,2016-02-01
Mississippi,63,2016-03-01
Mississippi,87,2016-04-01
Mississippi,100,2016-05-01
Mississippi,100,2016-06-01
Mississippi,90,2016-07-01
Mississippi,115,2016-08-01
Mississippi,75,2016-09-01
Mississippi,84,2016-10-01
Mississippi,80,2016-11-01
